"topic","year","state","raw_text","text"
"Topic 1",2018,"United States","World Hunger And Global Food Security: Scarcity vs. Distribution – A few key issues concerning world hunger and global food security are addressed in this post: 👉https://t.co/RGfcmZrskD.#PlantsHealHumans.#ZeroHunger #ZeroWaste #2030isPossible #NCDs #EnoughNCDs #BeatNCDs https://t.co/C2KOSPuFqt","world hunger global food security scarcity distribution few key issue concern world hunger global food security address post #zerowaste #ispossible"
"Topic 1",2018,"United States","#PayItForwardDay  World Hunger And Global Food Security -  Scarcity vs. Distribution – A few key issues concerning world hunger and global food security are addressed in this post 👉https://t.co/RGfcmZrskD.#ZeroHunger #EnoughNCDs #NCDs #ZeroWaste #ZeroHungerZeroWaste https://t.co/A3UIUHOl3q","world hunger global food security scarcity distribution few key issue concern world hunger global food security address post #zerowaste #zerohungerzerowaste"
"Topic 1",2018,"United States","It's time to end excessive food waste that contributes to climate change, end world hunger, and feed families NOT landfills. https://t.co/COxpXVKr5z #zerowaste #zerowasteweek #imafoodfinder #endhunger #endworldhunger https://t.co/VsyvT5yBhk","time end excessive food waste contribute climate change end world hunger feed family landfill #zerowaste #zerowasteweek #imafoodfinder #endhunger"
"Topic 2",2019,"United States","To keep traffic flowing during Saratoga Recycles Day on Oct 26, please sort your items by the major collection stations. $5 entrance fee and $20 fee per TV/monitor (limit 4). New traffic flow designed for a shorter wait https://t.co/4N0ylh0NC3 #SaratogaRecyclesDay2019 #ZeroWaste https://t.co/wbCigZkdzm","keep traffic flow saratoga recycle day oct item major collection station entrance fee fee tv limit new traffic flow design shorter wait #saratogarecyclesday #zerowaste"
"Topic 2",2020,"United States","Lotta #zerowaste """"Six-State-Regional-#COVID"""" IFs: """"A2371's requirements would take effect within 18 months. New Jersey would join California, Connecticut, Maryland, Massachusetts, Minnesota, New York, Rhode Island and Vermont in having some form of organics recycling policy."""" https://t.co/krJlQ2vsOa","#zerowaste state regional #covid requirement take effect month new join connecticut maryland massachusett new york rhode island vermont have form organic recycl policy"
"Topic 2",2020,"United States","Join the City's #GreenOceanside team as we update our #ZeroWaste Plan. There will be 2 virtual workshops to receive input as we update goals and strategies. Visit the Events page &amp; register today!https://t.co/Bv7Nt1f8A2 ♻️#OceansideCA #Oceanside #GreenOceanside  #ZeroWaste https://t.co/aVljKDtpvt","join city #greenoceanside team update #zerowaste plan virtual workshop receive input update goal strategy visit event page register today #greenoceanside #zerowaste"
"Topic 3",2011,"United States","Impressive! #KitKat Factory Achieves #ZeroWaste Milestone by @leonkaye via @triplepundit http://bit.ly/qksOUQ #sustainability #csr #nestle","impressive factory achieve #zerowaste milestone @triplepundit #sustainability #csr #nestle"
"Topic 3",2011,"United States","#compost from the #buckeyes game vs Indiana.  Ohio Stadium's quest towards #zerowaste http://t.co/fyUn7DIC http://t.co/qCf1aCt2","#compost #buckeye game indiana stadium quest #zerowaste"
"Topic 3",2010,"United States","@sustaining thanks! Great recap of #SXSW #zerowaste panel http://bit.ly/apQfMs","thanks great recap #sxsw #zerowaste panel"
"Topic 4",2019,"United Kingdom","A reusable bamboo cutlery set plus straw which you can carry in your handbag.Have you got one of your own ? 😋🍽🥄♦️Shop now to get free Delivery in GloucesterPRICE : £8️⃣ / A Set ( 1 fork,1 knife,1 spoon,2 straws,1 cleaning brush and cotton pouch)#zerowaste #bamboocutlery https://t.co/tgZ79c78Ce","reusable bamboo cutlery set straw carry handbag get own shop get free delivery set fork knife spoon straw cleaning brush cotton pouch #zerowaste"
"Topic 4",2020,"United Kingdom","Reusable Straw Bag Cutlery Pouch - crochet hook - Pencil Case - Pen Holder - Waterproof Lined Zip Pouch - Eco -  Rainbow Stag Snowflake LZ https://t.co/zSo1QA3DHP #reuse #zerowaste #Etsy #StrawCase https://t.co/o4bjwTCn17","reusable straw bag cutlery pouch crochet hook pencil case pen holder waterprohave line zip pouch eco rainbow #reuse #zerowaste #etsy"
"Topic 4",2019,"United Kingdom","When are the supermarkets really going to stop using plastics bags when they don't need to?Compostable caddy liners...arrived in a sealed plastic bag!Plastic bag of Albert Bartlett potatoes... wrapped in another plastic bag!#plasticfree #zerowaste #waronplastic https://t.co/zts6f3c1QB","supermarket go stop use plastic bag need compostable caddy liner arrive seal plastic bag plastic bag wrap plastic bag #plasticfree #zerowaste #waronplastic"
"Topic 5",2019,"United Kingdom","James's diet of choice - rum soaked nibs...#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #British #UK #Beautiful #Gifts #Yummy #Food #ChocolateHeaven #BrightonFoodies #BrightonUpYourDay https://t.co/xiFH7vHaMi","jame diet choice rum soak nib #jcocoa #beantobar #chocolatemaker #awardwinning #chocolate #shoplocal #delicious #singleorigin #craftchocolate #zerowaste #british #uk #beautiful #gift #food #chocolateheaven #brightonfoody #brightonupyourday"
