"topic","year","state","raw_text","text"
"Topic 1",2019,"United Kingdom","When are the supermarkets really going to stop using plastics bags when they don't need to?Compostable caddy liners...arrived in a sealed plastic bag!Plastic bag of Albert Bartlett potatoes... wrapped in another plastic bag!#plasticfree #zerowaste #waronplastic https://t.co/zts6f3c1QB","supermarket go stop use plastic bag need compostable caddy liner arrive seal plastic bag plastic bag wrap plastic bag #plasticfree #zerowaste #waronplastic"
"Topic 1",2019,"United States","🌎 Bring reusable bags to the grocery. Use cloth produce bags instead of #plastic. Buy groceries from bulk bins and fill your own containers. Purchase bulk-sized items rather than individually packaged items in single-use containers. #quitsingleuse #zerowaste","bring reusable bag grocery use cloth produce bag #plastic buy grocery bulk bins fill own container purchase bulk size item package item single use container #zerowaste"
"Topic 1",2019,"United Kingdom","@Specialized_UK Horrified by this unnecessary amount of single-use plastic used to package a single water bottle! #PlasticPollution #GoPlasticFree #ZeroWaste #OceanPlastic https://t.co/Q0WFXNqOUV","horrify unnecessary amount single use plastic use package single water bottle #plasticpollution #goplasticfree #zerowaste #oceanplastic"
"Topic 2",2009,"United States","learning about zero waste for zero warming for our scenario analysis on future of recycling #zerowaste #recycling","learn waste warming scenario analysis future recycling #zerowaste #recycl"
"Topic 2",2010,"United States","PSI's latest blog post: Can #ZeroWaste Community Systems scale up to challenge the #landfill and #incinerator industries http://ow.ly/2OdFq","latest blog post #zerowaste community system scale challenge #landfill #incinerator industry"
"Topic 2",2010,"United States","NICE JOB @CrownEquipment achieving zero landfill (#zerowaste), EPA SmartWay, ReNEWed & #green manufacturing http://bit.ly/bTQdTT","nice job achieve landfill #zerowaste epa renew #green manufacturing"
"Topic 3",2019,"United States","Vintage Beard Comb https://t.co/yW6DlW3oh9 via @Etsy #floral #gift #gardening #woodworking #fashion #Health #style #Art #ecofriendly #eco #zerowaste #sustainable #hairstylist #artist #music #photography #love #giftforher #giftsformom #bride #weddings #mind #earth #photo #gifts","vintage beard comb @etsy #floral #gift #garden #woodwork #fashion #health #style #art #ecofriendly #zerowaste #sustainable #hairstylist #artist #music #photography #love #giftforher #giftsformom #bride #wedding #earth #photo #gifts"
"Topic 3",2019,"United States","Floral pattern comb https://t.co/OvSwnsi52v gift for her #Pattern #hair #Etsy #jewelry #handmade #cotton #outfit #color #style #Trend #Travel #vintage #vibes #wellness #WWC2019 #yoga #zerowaste #Art #blogger #book #Cool #Deals #design #fashion #FathersDay #getoutside #goodomens https://t.co/x826lIECjs","floral pattern comb gift #pattern #hair #etsy #jewelry #handmade #cotton #outfit #color #style #trend #travel #vintage #wellness #yoga #zerowaste #art #blogger #book #cool #deal #design #fashion #fathersday"
"Topic 3",2019,"United States","gift for him https://t.co/QBhKvicdZy via @Etsy #floral #gift #gardening #woodworking #fashion #Health #style #Art #ecofriendly #eco #zerowaste #sustainable #hairstylist #artist #music #photography #love #giftforher #giftsformom #bride #weddings #mind #body #writers #books #read","gift @etsy #floral #gift #garden #woodwork #fashion #health #style #art #ecofriendly #zerowaste #sustainable #hairstylist #artist #music #photography #love #giftforher #giftsformom #bride #wedding #writer #book #read"
"Topic 4",2018,"United Kingdom","Really excited &amp; happy to back this project.. Looking forward to taking #ThePickle to the first #notforprofit #zerowaste shop in Cardiff 💚 take a moment to have a look, pledge &amp; help support our wonderful community! #therippleeffect https://t.co/WZOPOZOeQw","accit happy back project look take first #notforprofit #zerowaste shop cardiff take moment have look pledge help support wonderful community #therippleeffect"
"Topic 4",2020,"United Kingdom","Zero Waste Week is a campaign, raising awareness about the environmental impact of waste.They can help you reduce the volume of waste you produce in a week. ♻️🌎Read 5 ways you could be doing just this!Read more here: https://t.co/J0fAqzWVTf#Zerowaste #ZeroWasteWeek https://t.co/MVoKiyMCOx","waste week campaign raising awareness environmental impact waste help reduce volume waste produce week read way do read #zerowasteweek"
"Topic 4",2020,"United Kingdom","Do you know where your nearest zero waste shop is?I have over 100 shops across the UK  in my directory like @wastexbridport in Bridport and @TakeWrap in Yeovil If you know of any shops which should be included on this list let me knowhttps://t.co/eho5teBqut#zerowaste","know nearest waste shop be shop uk directory @wastexbridport bridport know shop include list let know"
"Topic 5",2020,"United States","Activated Charcoal face and body soap with Tea Tree, Lavender and Lemon for oily and blemish prone skin.  Remove toxins and impurities without drying skin. Available at https://t.co/MSoJDk2erH#naturalskincare #organicskincare #handmadesoap  #greenbeauty #cleanbeauty #zerowaste https://t.co/c9TGBcdZl7","activate charcoal face body soap tea tree lavender lemon oily blemish skin remove toxin impurity dry skin available #organicskincare #handmadesoap #greenbeauty #cleanbeauty #zerowaste"
"Topic 5",2020,"United States","Rosemary Mint Bar Soap⁠.⁠.⁠#zerowaste #plasticfree #kiltedsuds #vegan #veganbeauty #soap #coldprocesssoap #handmade #naturalskincare #healthy #healthylifestyle #healthandbeauty #essentialoils  #natural #sustainableskincare #minimalism #handmadesoap #healthandwellness #cle… https://t.co/ylwffdo6sC","rosemary mint bar soap #zerowaste #plasticfree #kiltedsud #vegan #veganbeauty #soap #coldprocesssoap #handmade #naturalskincare #healthy #healthylifestyle #healthandbeauty #essentialoil #natural #sustainableskincare #minimalism #handmadesoap #healthandwellness #cle"
"Topic 5",2020,"United States","Eucalyptus Clove Bar Soap⁠.⁠.⁠#zerowaste #plasticfree #kiltedsuds #vegan #veganbeauty #soap #coldprocesssoap #handmade #naturalskincare #healthy #healthylifestyle #healthandbeauty #essentialoils  #natural #sustainableskincare #minimalism #handmadesoap #healthandwellness #… https://t.co/rMGddovj5X","eucalyptus clove bar soap #zerowaste #plasticfree #kiltedsud #vegan #veganbeauty #soap #coldprocesssoap #handmade #naturalskincare #healthy #healthylifestyle #healthandbeauty #essentialoil #natural #sustainableskincare #minimalism #handmadesoap #healthandwellness"
"Topic 6",2020,"United Kingdom","On the #LandportCommunityCafe tonight: •Homemade sweet potato, butternut, lentil and spinach curry, smbasmati rice &amp; naan (🌱) •Homemade slow cooked beef &amp; chantenay carrot stew, herby dumplings •Homemade red berry crumble &amp; custard #community #zerowaste #foodsurplus #lewes https://t.co/enXwU9PRJW","#landportcommunitycafe tonight homemake sweet potato butternut lentil spinach curry rice homemade slow cook beef carrot stew dumpling homemay red berry crumble custard #community #zerowaste #foodsurplus #lewe"
"Topic 6",2018,"United Kingdom","Magic in motion..#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #MilkChocolate #Stoneground #Nicaragua #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #Packaging #British #UK #Beautiful #Gifts #Yummy #Food #ChocolateLover #ChocolateHeaven https://t.co/xK7ixy0deT","magic motion #jcocoa #beantobar #chocolatemaker #awardwinn #chocolate #shoplocal #delicious #milkchocolate #stoneground #nicaragua #singleorigin #craftchocolate #brighton #zerowaste #package #british #uk #beautiful #gift #food #chocolatelover #chocolateheaven"
"Topic 6",2019,"United Kingdom","Sun (and rum) soaked nibs...#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #DarkChocolate #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #British #Gifts #Yummy #Food #ChocolateLover #ChocolateHeaven #BrightonFoodies #BrightonUpYourDay https://t.co/3TtqrvCqd8","sun rum soak nib #jcocoa #beantobar #chocolatemaker #awardwinning #chocolate #shoplocal #delicious #darkchocolate #singleorigin #craftchocolate #zerowaste #british #gift #food #chocolatelover #chocolateheaven #brightonfoody #brightonupyourday"
