"topic","year","state","raw_text","text"
"Topic 1",2019,"United Kingdom","Fill Yer Boots &amp; Brew Yer Tea!This loose tea is so pretty! We love our tea infusers but sometimes we like the convenience of a bag too, and ours are plastic-free and degradable, no microplastics!Fill Yer Boots &amp; Brew Yer Tea!#plasticfree #zerowaste #looseleaftea #tea #brew https://t.co/LgWcWZefTD","fill yer boot brew yer tea loose tea love tea infuser like convenience bag plastic free degradable microplastic fill yer boot brew yer tea #plasticfree #zerowaste #looseleaftea #tea #brew"
"Topic 1",2019,"United Kingdom","Delighted to have our loose-serve #frozen fruit &amp; veg stocked in #ZeroWaste Shop @PedricksZero .Customers simply bring their own containers to purchase!They have a fab selection of local produce sourced from local suppliers &amp; is available plastic free. https://t.co/sRq4rNwacg https://t.co/32SKohNuou","delighted have serve #freeze fruit veg stock #zerowaste shop customer bring own container purchase have fab selection local produce source local supplier available plastic free"
"Topic 1",2020,"United Kingdom","**Giveaway** It's time to ditch single use disposable wrapping paper. Find out more about the alternatives and enter to win @wragwrap and @keepthiscracker prizeshttps://t.co/YB6pLGn4Oo#zerowaste #competition #CutTheWrap","giveaway time ditch single use disposable wrapping paper find more alternative enter win prize #competition #cutthewrap"
"Topic 2",2019,"United States","Composting/Anaerobic Digestion conduct business outreach &amp; research to support food waste reduction and diversion efforts. We assist clients with setting up successful compost programs by conducting waste stream assessments, designing signage, &amp; training employees. #ZeroWaste https://t.co/TffCK9xwXQ","compost anaerobic digestion conduct business outreach research support food waste reduction diversion effort assist client set successful compost program conduct waste stream assessment design signage training employee #zerowaste"
"Topic 2",2018,"United States","Major cities, including #NYC pledge to reduce food waste by 15% per capita by 2030 through the @c40cities #ZeroWaste Declaration. Interested to learn more about how @NYCMayor will take action. https://t.co/w5BmG2Sijc  @GrowNYC @NYCSanitation","major city include #nyc pledge reduce food waste capita @c city declaration interested learn more nycmayor take action @grownyc @nycsanitation"
"Topic 2",2019,"United States","EPA's P3 Award seeks applications for research, develop, design, for innovative and cost-effective solutions to reduce the amount of food waste including food waste prevention, recycling and disposal technologies by November 19th: https://t.co/YACoQHGqE1 #ZeroWaste https://t.co/MCq7IWrc9S","epa p award seek application research develop design innovative cost effective solution reduce amount food waste include food waste prevention recycling disposal technology #zerowaste"
"Topic 3",2009,"United Kingdom","See how a Japanese town goes garbage free: http://tinyurl.com/yl37qp9 #zerowaste","see japanese town go garbage free #zerowaste"
"Topic 4",2020,"United States","Handmade Dishcloths Cotton Dish Cloths Scrubbie Set Rose Beige Gray Grey Scrubby  Farmhouse #Kitchen Set Made in USA https://t.co/GHweCKggtJ #etsyshop #cleaning #sustainablecleaning #zerowaste #homedecor #summerdecor #kitchendecor #farmhouse #coastal #beachhouse #giftideas https://t.co/MGzdipS1g6","handmay dishcloth cotton dish clot scrubbie set rise beige gray grey scrubby farmhouse set make usa #etsyshop #cleaning #sustainablecleaning #zerowaste #homedecor #summerdecor #kitchendecor #farmhouse #coastal #beachhouse #giftidea"
"Topic 4",2020,"United Kingdom","Baked beets, red pepper sauce, yellow pepper sauce, chlorophyll sauce, sea salt and fresh chives. 🌿 👌 #Vegan #VegansOfIG #VeganFood #VeganFoodShare #WhatVegansEat #VeganUK #UKVegan #InstaFood #PlantBased #PlantPower #WholeFoods #CTFU #ZeroWaste #Zer… https://t.co/HT69vn0roi https://t.co/WJIYlILNHK","bake red pepper sauce yellow pepper sauce sauce sea salt fresh chive #vegan #vegansofig #veganfood #veganfoodshare #whatveganseat #veganuk #ukvegan #instafood #plantbase #plantpower #wholefood #ctfu #zerowaste"
"Topic 4",2020,"United States","Cotton Dish Cloths 3 Pack Purple Grape Green Wash/Dish Cloths Eco Friendly  #Kitchen Dishcloths Handmade in USA https://t.co/0lEi1fLulC #etsyshop #cleaning #sustainablecleaning #zerowaste #homedecor #summerdecor #kitchendecor #farmhouse #coastal #beachhouse #giftideas https://t.co/g3hbfPQnWy","cotton dish clot pack purple grape wash dish clot friendly #kitchan dishcloth handmade usa #etsyshop #cleaning #sustainablecleaning #zerowaste #homedecor #summerdecor #kitchendecor #farmhouse #coastal #beachhouse #giftidea"
"Topic 5",2019,"United Kingdom","CLEAN KITCHEN?!🍕🌍#eco #sustainable #recycling #waste #zerowaste #food #foodwaste #green #home #parents #earth #clean #kitchen #uk #environmental #plastic #hygiene #reduce #reuse #gardening #smart #appliances #electrical #bin #flat #rubbish #pollution #bins #dirty #climate https://t.co/BWAFxAYWFI","clean kitchen #sustainable #recycling #waste #zerowaste #food #foodwaste #home #parent #clean #uk #environmental #plastic #hygiene #reduce #garden #smart #appliance #electrical #flat #rubbish #pollution #bins #dirty #climate"
